# Multi-Origin Emergency Corridor Edges
# Origins: 4
# Format: node_id_1,node_id_2,tier
#
597933738,cluster_1297490062_597933808_597933809_7206995893,secondary
1933546287,376748008,primary
1311619365,30254222,backbone
356295209,356295235,primary
12908680318,1300196926-AddedOnRampNode,primary
126699974,415935180,backbone
256484473,30295384,backbone
559420249,765910378,secondary
30296564,338936194,secondary
10182331327,1532752080,tertiary
2526235552,cluster_11367386983_11367386984,tertiary
30294661,535228357,primary
290060063,4345461389,secondary
260723606,30617356,primary
30313438,30313439,secondary
288024058,cluster_1002675914_688393867,secondary
10177414047,10177414048,primary
316877774,319631021,primary
243341157,347353579,secondary
695117641,cluster_2148865176_689999164,primary
535657125,694837836,secondary
387130505,417972224,tertiary
627782657,627782749,primary
6423993160,cluster_12703479479_543552982,secondary
269376915,269381939,tertiary
30294532,30294558,secondary
1044543169,1710709043,secondary
1771985487,420553161,secondary
695117639,cluster_2148865169_4723213610_689430448,primary
412444488,412444617,backbone
81321296,81321297,tertiary
1940624171,30253391,secondary
30617900,903833766,primary
30243212,30243213,primary
412453115,412453116,primary
3136662657,3136662659,secondary
126798005,219029434,tertiary
254399268,390057408,primary
30343487,4260777637,primary
30558475,59850120,secondary
30238030,442540240,primary
cluster_10617762299_561521683,cluster_1622039363_5286242896,secondary
359235499,359235500,secondary
30295508,434471890,secondary
1382873516,30237607,secondary
1279276755,12898105346,primary
31285281,692247930,primary
559061399,814239845,primary
1303363159,30295716,secondary
126763470,393144498,primary
506131402,9233468280,primary
1479390501,5241929669,primary
1044543179,5711742102,primary
257048063,4416582754,primary
30296620,462635549,secondary
598220565,7198084789,secondary
30295384,30295385,backbone
4251794889,cluster_1849781082_4251794074,primary
293526303,30296310,secondary
30297293,30297327,secondary
8119424260,cluster_12696808754_359238242_8119424289,secondary
1086926758,1086926772,secondary
1086926705,2687171808,secondary
30558433,364991353,primary
1520862186,9090670821,primary
166211432,2692588225,secondary
30314490,364720393,secondary
3275077157,8512174197,secondary
30558253,30558254,secondary
412453127,9420716633,primary
2869959974,4931851569,primary
6319813807,cluster_415402221_449385473,secondary
30617794,387127519,primary
30313244,30313357,secondary
359234359,359240328,secondary
243342790,2578612975,primary
243347086,5278618290,primary
258359509,8119123712,secondary
1086926705,1299427207,secondary
30558461,30558462,primary
30295138,8530214078,primary
30227231,3096906058,tertiary
273102083,847726925,tertiary
