# Multi-Origin Emergency Corridor Edges
# Origins: 4
# Format: node_id_1,node_id_2,tier
#
2593809553,4385157798,tertiary
998615843,cluster_30294478_5264614128_7223680633,primary
2757833232,598224512,primary
30558219,cluster_30558292_412549139,primary
1695062667,8379681578,primary
256484485,3748616610,primary
1117832656,416012211,primary
30297371,30297372,secondary
2881600611,7376904297,backbone
12952468147,12952468148,secondary
12953261544,cluster_482505205_8530300629_8530300631,secondary
30960821,412549129,primary
12898105357,34397845-AddedOffRampNode,primary
2020404320,960619341,primary
2986603865,395285930,secondary
4212111673,4212111675,tertiary
30294192,539147483,tertiary
4827417964,cluster_1622002024_2767286513_536428062,backbone
5264792102,960996565,secondary
9739474150,cluster_2293731658_4436952954,primary
30556411,4675085043,primary
1141475343,347353580,backbone
30558219,412370062,primary
12901275342,4922624387,primary
4592704417,4600193563,secondary
126699973,415884756,primary
2450895997,cluster_615815434_629327975,primary
1401857363,1401857392,primary
240978795,506131379,primary
363888331,4922624387,primary
381897060,4827417960,backbone
30242965,cluster_1864143460_250794421_431481328_9449729915,primary
10893766826,30243210,tertiary
12643425281,cluster_1139082290_1139082295_319630104_8550439929,primary
561521686,6916767944,secondary
cluster_30243128_7866434043_7866434044,cluster_5278618281_7866434035_9252974207,primary
1311619512,cluster_301572944_71643547_9803583623,primary
30253574,30333309,primary
2707390543,323190137,secondary
10042808608,cluster_30243349_3144669232,primary
cluster_11559713266_536418296,cluster_1311935438_3134509198,backbone
434437194,cluster_434437191_9388663514,secondary
30238018,4840145821,secondary
1303457341,30254087,primary
4192143115,541644040,secondary
690803404,7376904297,backbone
30253435,30253436,tertiary
1233754573,30294703,primary
12953259294,2606686566,primary
5289700270,cluster_30253211_30253212_3662616940_7309045630,primary
2469022024,601047985,primary
30253579,769906814,primary
30242809,559794886,primary
3748616600,3748616604,primary
30243205,30243245,backbone
12884120609,cluster_390057403_823781718,secondary
11256490151,cluster_11256490152_126658000,primary
30237520,511123413,tertiary
12908905303,1401840805,primary
30253725,30555009,primary
30312835,365566117,secondary
30313439,762466173,secondary
4346093754,7087019728,secondary
50099103,cluster_3129196082_448786027,primary
104459413,30227030,tertiary
312894013,765910344,secondary
359238598,359238600,secondary
178542532,530687855,secondary
359235499,7233634031,primary
1610134946,425612130,secondary
29418848#1-AddedOnRampNode,981699953,secondary
317998745,4207637744,secondary
1860476035,30243391,tertiary
30295271,5254788638,backbone
4397169306,cluster_30884329_775644929,primary
324231741,535228371,tertiary
506223339,506223345,tertiary
256484325,387127612,primary
2264456443,4834501715,tertiary
412442324,4675085043,primary
30253314,7159373371,primary
344992889,cluster_301572460_301572949_71643543,backbone
30247401,30247402,tertiary
950190540,955341779,primary
1374757788,359234339,secondary
690679239,690679240,secondary
243338878,cluster_1940573413_1940864524,primary
30553749,82748657,primary
1528760851,59850112,secondary
30556542,415935210,backbone
5289700459,cluster_1710709046_2578612972,primary
1400693886,190993191,primary
2590731984,4471207535,primary
2087205008,31285432,tertiary
3748616604,3748616610,primary
7227334143,7628276055,backbone
2153062749,cluster_1592978370_2869959981,backbone
412453095,877366733,primary
2059755039,cluster_3053899379_3053899384,primary
1126640615,26057116,tertiary
1933546246,1935827755,primary
12351352586,30227228,primary
12919487159,30237483,secondary
243345437,8253147501,primary
7040359555,8319483157,tertiary
30237629,30237630,secondary
13203520600,269380670,secondary
30914307,30914308,primary
12884110996,cluster_390057403_823781718,secondary
10167743048,559052402,secondary
387127539,9272385499,primary
299365802,8302792155,secondary
2879016203,30227154,tertiary
4385157797,cluster_2473394000_2473394005_30297525,tertiary
243586483,28100151#0-AddedOffRampNode,primary
1303457341,30243332,primary
4192143115,544223032,secondary
1377933376,359236960,primary
1400723037,cluster_13134439125_431107481,primary
10167743058,559052405,secondary
2146914031,cluster_2146914032_667379829,tertiary
30251189,998567794,tertiary
1297809323,560025956,secondary
30343487,4260777637,backbone
499122835,cluster_3822859920_4189406778,primary
11369675074,190981834,primary
12898135207,29380492-AddedOnRampNode,primary
12645522470,391086097,primary
126797329,126797987,backbone
190993191,209084274,primary
2707139547,30254605,primary
568117156,cluster_2697516077_430764639,primary
30254568,412450457,primary
560006195,cluster_4346118755_4346122994_689430467,secondary
30253977,308733525,primary
30333310,3196847752,tertiary
425635740,7297165001,secondary
30296565,30296580,secondary
668486384,668513854,secondary
331355856,359099425,primary
190986445,190987751,backbone
12908680315,12908680317,primary
30296151,462635529,secondary
30333329,cluster_10770844049_126803331_12950167734,primary
2268659706,347353584,primary
1299613796,363881327,secondary
235337935,3439182100,primary
626570863,629306851,primary
240978204,7274365945,primary
1233754562,30294668,tertiary
1299427193,319428307,secondary
559787231,cluster_30254225_5268554994_559787230_8205064230_#1more,backbone
4592704400,6218586069,secondary
12908680330,12908680331,primary
359234364,841867182,secondary
4406238923,7198084790,secondary
387127664,619005043,tertiary
2482651002,2482651061,primary
387127467,3994528973,primary
31286309,387127706,backbone
30313244,30313357,primary
258465505#1-AddedOffRampNode,258465505#1-AddedOnRampNode,primary
7223680629,cluster_30294478_5264614128_7223680633,secondary
359099426,359099649,primary
1840720973,1840721007,secondary
30554613,30556754,backbone
1305741263,1307277321,secondary
126797984,126803340,backbone
539147483,539147484,tertiary
178542900,2510477873,tertiary
1457780043,1457780180,primary
6070339664,cluster_240936353_30227495,backbone
1479422496,7376904298,backbone
243338866,506151644,secondary
126769416,12884120603,secondary
34211542-AddedOffRampNode,34211542-AddedOnRampNode,primary
668486389,668512260,secondary
2510589068,4834209607,primary
6070339663,6070339665,tertiary
30296038,cluster_2936643036_2936643038_2936643039_30296147,secondary
256484464,5247963052,primary
1401857363,1402845495,primary
1299427193,598223783,secondary
1532752080,1532752081,primary
2268684776,5513417720,primary
2238485645,2655293351,primary
30914312,6238824732,primary
12908680333,12908680338,primary
598224884,598224964,secondary
434423009,8990571961,secondary
30295099,cluster_30554844_30554845,tertiary
363888326,cluster_10207081166_30243449,primary
