# Multi-Origin Emergency Corridor Edges
# Origins: 4
# Format: node_id_1,node_id_2,tier
#
981699952,981699964,primary
330413164,4592704400,secondary
30242959,30242960,tertiary
412453978,412454419,primary
30243394,30243395,primary
11927931591,618404476,primary
30295271,5254788638,backbone
1297744704,30246712,primary
30618096,319429058,secondary
8132079773,8132079775,secondary
2709095334,3855178234,secondary
1695282600,30689095,secondary
412398656,412398657,tertiary
30238198,30238199,primary
3827708483,417972197,primary
12644016500,690803404,backbone
10177414030,30243048,backbone
6932324302,cluster_1365781111_392351136_4151671157,backbone
412398660,412398661,tertiary
178542532,cluster_1012330342_340193179,secondary
1483794627,364669872,primary
30253991,30333309,primary
3822804384,3822804388,primary
30227039,30227050,primary
288022712,535228382,secondary
30237629,30237630,secondary
3208632836,6121027785,primary
30294473,630583121,primary
1298740470,392358854,secondary
30254224,30254227,primary
256484485,3748616610,primary
622350679,cluster_1935827759_6002052354_622350685,primary
5335313617,5335313618,secondary
30313010,5451351932,tertiary
364811890,442540300,tertiary
416523700,8417804017,primary
12919310492,cluster_1017920131_1017920189_1312339722,primary
366066655,392354011,primary
3141525071,442540257,backbone
359234349,8530386533,primary
30237542,8225869769,primary
1017920257,4851324583,primary
2986603865,434423017,secondary
4346093754,7087019728,secondary
364989976,cluster_1930254000_8119755195,secondary
806808396,806808404,secondary
1401857363,1402845495,primary
12950683862,247638056,primary
401870894,cluster_35120255_687897083,secondary
378208896,8119755196,secondary
30237772,30247089,primary
1588281327,cluster_1695282574_387130473,backbone
2250836674,2482651061,primary
3141525071,94668946,backbone
2984928319,2984928320,secondary
1377806863,1377806906,primary
392351451,392351456,primary
1483860745,cluster_1483860784_1483861011,secondary
387127454,619005043,primary
2153062749,847727780,backbone
7507211481,cluster_1147391517_30243342_6416619438,primary
1008972044,1982893114,secondary
4385157796,506223345,tertiary
1043905685,cluster_11258759941_11258759944_11258759969_12138690553_#2more,primary
30251175,59749809,secondary
cluster_1457780310_678297076,cluster_2087205009_5227213296,secondary
2264456438,cluster_168537019_190949833,secondary
254399269,390057407,secondary
692807420,692807422,primary
2706292292,4554543618,primary
269379910,269382573,secondary
364718315,cluster_11877585718_126781133_1377806816,primary
12643851486,535233433,secondary
1532984351,30617640,secondary
30307932,30914370,primary
387127551,387127552,secondary
310929483#1-AddedOffRampNode,310929483#1-AddedOnRampNode,primary
1255304807,30617804,primary
1402987469,cluster_190972365_2239890983_71709908,tertiary
30236720,30236761,primary
12898135210,604001411,primary
256484464,256484493,primary
1528760851,59850112,secondary
416012198,416012206,tertiary
1017920073,cluster_12901275356_319630542_319630543_7546057082,tertiary
190985756,876375351,backbone
543552991,560025956,secondary
256484505,3748616600,primary
30689119,387130494,backbone
8127333287,818710818,primary
412414651,412446734,primary
6449314872,cluster_10782483583_6148227547,secondary
3687119664,415402209,secondary
12950683862,225859994,primary
601047993,601048007,primary
1046607396,cluster_1174708055_1588285136,backbone
308733542,8321607781,primary
3369034784,689442437,secondary
30297327,561521686,secondary
30295544,598224749,primary
243047500,cluster_12945382588_12945382589_243339101_243339102_#5more,primary
1528727077,cluster_1595126752_687897174_9876300964,secondary
269386336,390227141,secondary
4436976528,879356690,primary
1299373048,2676998917,backbone
1299373044,1299373046,backbone
876375351,cluster_243341156_4171977898,primary
243345599,243345600,primary
668512260,994071419,secondary
178520716,30307932,primary
560006195,cluster_4346118755_4346122994_689430467,secondary
3825223113,614217675,backbone
347712484,347712502,primary
1116623921,2087205003,secondary
30960810,30960819,secondary
2757833228,598224744,secondary
2983305215,323169610,secondary
30242951,cluster_1479422555_2480495525,backbone
2565812032,770847839,secondary
532430853,cluster_530924818_573484619,secondary
1297710569,30556269,tertiary
1303465752,1368967593,primary
11012442310,2819073400,tertiary
13197779091,4212111673,primary
690803404,7376904297,backbone
30243394,30254029,primary
30243332,30243391,primary
559415593,559419000,tertiary
12351352583,2327729212,primary
1840721007,364829704,secondary
30555976,915702746,primary
30253204,506223330,primary
190993191,30252172,secondary
1357271796,331355854,primary
126812844,cluster_126800081_213942769_426891063,tertiary
2294043882,30558573,secondary
243341157,243341158,primary
13197779092,240976232,primary
603995030,629306851,primary
2650585689,449385485,secondary
262251807,597212245,primary
31285427,432510237,secondary
2458217791,2458217848,primary
5289700270,cluster_30253211_30253212_3662616940_7309045630,primary
2020374102,2757833228,secondary
11369675074,11391883977,primary
2760236003,30332643,secondary
415994535,4992914467,secondary
462635529,8461920640,secondary
1589583429,30243365,primary
12898105376,323158444,primary
1313997596,1313997605,secondary
10177414029,10177414030,backbone
1362899971,30237637,primary
4323496660,5286242897,secondary
415718635,415719087,secondary
30312486,cluster_30689549_30689550_5216417446_7006970221,primary
112382699,11240066167,backbone
30555407,30558462,primary
8119767440,8119767442,secondary
2677447201,cluster_2407371630_359979755,primary
597212245,cluster_2578612976_262250647_2810872733_2810990584_#1more,primary
3827708474,387127454,primary
1116318736,1116318859,primary
30296293,30296294,primary
190985756,876277542,backbone
cluster_364916639_366213480_366213481_366213484_#3more,cluster_366062092_8176699632,secondary
126769419,308672528,secondary
1043834293,12919310479,primary
790024575,806808396,secondary
522579129,863733275,backbone
2087205004,cluster_2087205005_2087205007,secondary
125935921,30689140,backbone
2087205014,330415541,secondary
30243356,30243357,primary
3134509196,cluster_1311935438_3134509198,primary
4828366707,4828366708,primary
359234292,9029647953,secondary
603995063,603995072,secondary
1474941218,847727786,backbone
356295256,390227080,secondary
2262659438,30312486,secondary
559026426,559765962,backbone
1233754573,3208632836,primary
30554971,30554972,tertiary
2665264307,8279072277,secondary
402875805,7376904298,primary
387127514,9272385499,primary
10893766826,30243210,tertiary
627782751,cluster_629306981_6932324368,secondary
1933546294,1933710581,primary
126699974,415935180,primary
2815411494,800172185,primary
30617785,387127524,primary
323169610,4554543618,primary
5335313618,cluster_420553141_420553180,secondary
598223793,598223867,secondary
559415593,559415597,tertiary
30294487,cluster_30294478_5264614128_7223680633,primary
2689685268,cluster_1695282549_387127746,backbone
2268684776,347712502,primary
3361983595,cluster_1147391517_30243342_6416619438,primary
1425252279,6449314872,secondary
30297380,30312843,secondary
2344645253,356295256,secondary
1551112035,1723184949,secondary
30295310,50099103,primary
1303457341,30243332,primary
668486389,940874209,secondary
387127589,387127593,secondary
364669779,412453976,primary
30237867,30237873,backbone
13203520600,13203541701,secondary
31286309,387127706,backbone
30253388,cluster_1940573413_1940864524,primary
30237630,30246712,primary
243338866,5451351932,tertiary
30237635,30237637,primary
2293703215,30332654,tertiary
10893766824,10893766826,tertiary
1313997605,598219933,secondary
409506494,409506495,tertiary
506223339,506223345,tertiary
30333308,30558456,primary
30313367,60969503,tertiary
559419000,620148198,tertiary
30243114,30558454,tertiary
30237700,30238006,tertiary
30555001,30558452,backbone
30553750,31285672,primary
323191075,cluster_12914037675_12914037676_1771982085,primary
1377806906,cluster_1377806812_692247839,primary
30295841,319428309,secondary
412370062,7679659712,tertiary
30237700,30237701,tertiary
30253982,3835613870,tertiary
11264541277,2713983941,secondary
1043850005,4992822662,primary
31285431,31285432,secondary
10893766824,30243058,tertiary
30253402,543552912,secondary
359234345,359234346,secondary
567451703,cluster_415950289_6073196939,primary
1378060284,692263342,primary
4192143115,544223032,secondary
2983345317,4600193561,secondary
2264456451,4834501653,tertiary
30254227,3047640929,primary
13197779091,240978795,primary
423434658,423434712,secondary
10253033785,3888894773,primary
556364134,cluster_556334940_556335228,secondary
347353582,347712660,primary
1303430180,30295408,primary
1193548761,1193548816,tertiary
598224742,598224744,secondary
11226951502,2749832743,primary
323168908,cluster_1120489442_7663721759,primary
3825223113,cluster_1695282574_387130473,backbone
1295283770,cluster_2697516077_430764639,primary
12923224032,604943427,primary
412454419,667380524,primary
1621899831,506151644,secondary
30558221,7679659712,primary
356295291,356295312,secondary
30294710,30294757,tertiary
1303363170,434423009,secondary
30237639,30237697,backbone
12898135214,2456874973,primary
1716858620,30294565,secondary
690812143,cluster_30960627_9408480017,tertiary
2713983941,457887476,primary
1363702666,8530214076,primary
30297485,cluster_2473393628_2473393632_3127828871,primary
269382573,364816292,secondary
1314467682,330412974,secondary
11283057021,568847328,secondary
12945625953,258562666,tertiary
30313367,60969474,tertiary
30295312,847727783,primary
30617607,30617608,primary
1100295130,3200354845,primary
347344133,8132079775,secondary
30313440,8565580821,secondary
cluster_10617762299_561521683,cluster_1622039363_5286242896,secondary
30296293,30296307,primary
535228352,535228385,secondary
60969474,60969475,tertiary
3172138419,323191073,primary
1357271792,412370994,primary
12898135207,29380492-AddedOnRampNode,primary
126812844,cluster_11367724951_126812839_126812841_6385898256,tertiary
290060008,290060062,secondary
30314637,cluster_11218778225_11218778227_251543450_687897181,primary
3521929671,568847328,secondary
1457780109,1457780180,primary
415956314,cluster_30960627_9408480017,primary
4852602038,cluster_615815434_629327975,backbone
30558391,60969501,primary
561521656,cluster_1297490058_1768889590,secondary
8109172276,cluster_1297470711_293407668,secondary
420553134,cluster_420553141_420553180,secondary
30236932,30237197,primary
1046599615,125932462,secondary
695092718,695117632,secondary
2578612978,541643991,secondary
30253574,30555976,primary
35120240,687897075,secondary
1299373046,1299373048,backbone
30253203,5764490189,tertiary
4323496660,561521641,secondary
1116318602,2665264307,secondary
30254467,81321296,tertiary
423434652,423434655,secondary
1377806827,1377806863,primary
724126624,cluster_12919565844_59850119_724126687_8125229482,secondary
1623838327,cluster_2293731677_2293731679,secondary
1126998867,1126998875,secondary
4127412196,626570718,primary
cluster_253795220_253795580_3662615660_7006970222,cluster_3662615687_381897082_385664092_7006970223,primary
3822804387,3822804388,primary
1400693909,30252172,tertiary
330414111,692807422,primary
1532752077,30248535,primary
431100308,cluster_30247395_30558252_8181153235_8530284756,primary
11322667565,12953076917,primary
1297818717,4589037149,secondary
572001919,572085949,secondary
423434621,423434626,secondary
3109205926,3109205928,primary
1532752086,30247091,backbone
364680673,567478392,primary
262251757,312894015,primary
1935827755,1935827773,primary
13228605049,30237701,tertiary
30237532,30237533,secondary
1311619319,8210712079,primary
1378060299,692263343,primary
622350681,cluster_1935827759_6002052354_622350685,primary
190985739,533662733,backbone
12645522470,391086097,primary
2473393641,cluster_2473393628_2473393632_3127828871,primary
3306168427,3306168428,secondary
358505142,cluster_358505141_7234883292,secondary
2655765586,2655765587,primary
30295515,30295517,secondary
12898105359,1393379518-AddedOnRampNode,primary
cluster_11218778225_11218778227_251543450_687897181,cluster_2077949582_687897182,secondary
1614010928,412398656,tertiary
3306168419,8269934210,secondary
559787231,559787232,tertiary
30312831,381897080,tertiary
1425252273,1425252279,secondary
323190145,323190146,primary
417813658,7110703695,secondary
269379907,59850120,primary
192284952,5908351895,secondary
30242970,797407413,tertiary
1043834246,8223182375,primary
30554974,30554976,primary
1046613006,cluster_1046607407_951016296,backbone
1771982098,323191073,primary
30236932,cluster_11373542255_11373542260_11373542261_12919684467_#1more,primary
191050259,9231111336,primary
31285427,31285428,secondary
4337235666,cluster_4343830708_689430493,secondary
30617611,30617612,tertiary
559414533,559415593,tertiary
12884110996,12884120610,secondary
667387217,674780716,secondary
30248586,3213093362,primary
10177414029,1532752086,backbone
359238598,359238600,secondary
1377933417,8119424274,primary
493241896,506223416,primary
601047989,601047993,primary
2456874971,366066655,primary
1710746464,cluster_4112911211_5289700555,primary
401795296,401795297,secondary
12953259294,2606686566,primary
1117832690,416012206,tertiary
30294568,30294569,secondary
30914312,30914370,primary
30254049,30254050,primary
797407449,cluster_2767286507_30253377_600830525,primary
426881065,537823321,primary
30297293,30297327,secondary
2020374102,769906807,primary
692263342,cluster_1375272349_1375272355_1469237431,primary
1306211583,cluster_11258759941_11258759944_11258759969_12138690553_#2more,primary
30294514,762466173,secondary
30237532,cluster_1378087192_557230563,primary
256484464,387130505,tertiary
567474427,567474429,primary
30617606,cluster_30617602_390878338,primary
1312339742,903833762,tertiary
1400723037,30227478,primary
262251757,cluster_2578612976_262250647_2810872733_2810990584_#1more,primary
2606686471,481087131,primary
7487287876,7487287878,secondary
2326000392,559764755,tertiary
387127757,5248043033,primary
30254013,cluster_1381852565_3748616590_690803431,backbone
2706190138,449385485,secondary
288026717,330417668,secondary
26057342,26057345,tertiary
3134509191,797407467,primary
426652636,583257390,primary
448786042,cluster_1043834102_448786043,primary
9029647950,9029647953,secondary
544222999,cluster_1297445121_262251531_2810990589_347340786,primary
425612275,cluster_11218778225_11218778227_251543450_687897181,primary
770847795,790024597,secondary
30297454,cluster_10858526497_10858526500_441668045_544222987,tertiary
392351066,392351069,primary
30254051,30254052,primary
30333312,30556414,primary
262250645,4880337146,secondary
30295337,30295338,secondary
1306211583,30297485,primary
12952468147,6916767944,secondary
2408544346,947908697,secondary
12898105386,376751686,primary
539147483,539147484,tertiary
381897060,cluster_2767286508_536428072_600821408,primary
522579129,cluster_13119458932_2650778287_2650778313_522579231,backbone
30295052,412414651,primary
1551112026,1551112035,primary
1043834178,1043834302,secondary
1311619368,30247431,tertiary
190989415,30343467,backbone
258465505#1-AddedOffRampNode,258465505#1-AddedOnRampNode,primary
1169009527,cluster_434437191_9388663514,secondary
535657125,694837836,secondary
11012442310,30243210,tertiary
247638056,4192143112,primary
10092003377,30243876,tertiary
681936214,cluster_1595126752_687897174_9876300964,secondary
30294487,59850112,primary
2707017770,387127646,tertiary
1116318602,258562666,tertiary
1889932481,412398663,tertiary
415933631,415933918,primary
2412830244,30243244,primary
359099647,359099649,primary
1312053334,1312053363,secondary
2655765587,619005043,primary
12898135214,29380495-AddedOffRampNode,primary
cluster_2767286507_30253377_600830525,cluster_2767286508_536428072_600821408,primary
