# Emergency Corridor Edges (node_id_1, node_id_2, tier)
cluster_415718630_415718632,cluster_947908698_947908716,primary
256484325,387127642,tertiary
687897156,874432073,secondary
2709095334,3855178234,secondary
30556740,64934032,secondary
2473393823,cluster_11209803266_2473393849_2473405267_2767286491,secondary
324231840,535228364,primary
434423052,598224644,tertiary
359099647,359099730,tertiary
7252348266,cluster_126781137_1377806858,primary
478855288,4992937068,secondary
30253202,30253203,secondary
1046607404,1695282709,secondary
1695282564,6223865358,primary
30314648,60591106,secondary
12947743991,1454439253,primary
cluster_1771982095_568847323,cluster_30294552_359547244,primary
364718315,693196406,secondary
1117832745,319427657,tertiary
30254230,30254231,secondary
338935526,420064843,primary
30295343,30295344,tertiary
1623835960,1623835963,secondary
414683104,535233433,tertiary
30253380,30689522,secondary
4307016147,4826672656,secondary
293302297,482511822,primary
243336862,3184350843,secondary
1043925396,cluster_30313062_30313063_5003921264,secondary
392351072,cluster_1365781111_392351136_4151671157,primary
30295132,393144498,tertiary
364811890,442540300,tertiary
4826672649,cluster_1297490067_2786421930_2786421958_559410527_#1more,secondary
288024531,432509963,primary
3369034784,689442437,secondary
12923224032,412458357,primary
543552897,544223024,secondary
359234339,359234340,secondary
211616876,219029426,secondary
288026013,535228371,secondary
434471880,434471890,secondary
364719688,692807411,secondary
216349848,2853451267,secondary
4552362841,544223024,secondary
1857472173,8495234373,secondary
695117637,695117639,secondary
482511832,cluster_12516813715_2976987341_482505222,secondary
330416987,330417666,secondary
1483860797,cluster_1483861162_359235508_5476467951,primary
30243251,533662625,secondary
30254605,387127544,primary
478867327,cluster_478867470_8530300628,secondary
1312053384,cluster_2293731658_4436952954,primary
560006195,7087019728,secondary
420553150,420553171,secondary
567477671,cluster_381009461_381015582,primary
30237873,30238023,secondary
1116318736,387127626,primary
323190135,cluster_415718630_415718632,primary
191823363,82632464,secondary
30242763,30242811,secondary
12953470706,2757843069,secondary
1124790711,30243245,secondary
3825223113,614217675,primary
30237680,cluster_1002710274_126763506,primary
1311770050,269369082,secondary
1299430527,30295809,tertiary
1374636407,30247097,primary
30296290,366066655,primary
1086926705,1299427207,secondary
30242864,30243053,secondary
559765962,559765972,secondary
256484320,863733388,tertiary
1312053334,1312053363,secondary
