orig,dest,total_trips,completed_trips,free_travel_time,average_travel_time,stddiv_travel_time,shortest_distance,average_distance_traveled_per_veh,stddiv_distance_traveled_per_veh
30237696,cluster_301572399_301572961_71643538,25,25,106.25,135.0,19.493588689617926,850.0,850.0,0.0
359104405,8197554957,5,5,30.095238095238095,50.0,0.0,420.0,420.0,0.0
30237697,8097436674,15,15,51.39285714285714,58.333333333333336,4.714045207910317,634.0,634.0,0.0
3236553576,5260601900,5,5,142.30952380952382,175.0,0.0,1416.0,1416.0,0.0
30237697,30237641,30,30,76.92857142857143,125.83333333333333,13.969212178533509,587.0,816.0,0.0
9042478734,442540300,45,0,0.0,0.0,0.0,0.0,0.0,0.0
9803583625,12884439746,20,0,0.0,0.0,0.0,0.0,0.0,0.0
12944467681,8264714837,30,0,0.0,0.0,0.0,0.0,0.0,0.0
1311619340,30243323,20,20,70.42857142857144,98.75,8.926785535678562,986.0,986.0,0.0
cluster_301572944_71643547_9803583623,cluster_301572306_301572951_71643537,25,25,55.64285714285714,88.0,21.587033144922902,471.0,654.0,149.45500995282828
6855299029,8097436674,35,35,90.42857142857142,155.71428571428572,11.78030178747903,1266.0,1266.0,0.0
442540270,30237637,15,15,15.625,26.666666666666668,6.236095644623235,125.0,125.0,0.0
30243368,3236553576,20,0,0.0,0.0,0.0,0.0,0.0,0.0
4222882539,12944467681,5,0,0.0,0.0,0.0,0.0,0.0,0.0
8097436674,30247089,10,0,0.0,0.0,0.0,0.0,0.0,0.0
12884439756,6985826711,15,15,84.69642857142857,126.66666666666667,10.274023338281628,799.0,879.0,0.0
5260601900,9042478734,35,35,36.42857142857143,75.71428571428571,18.97904322226632,426.0,426.0,0.0
555187275,12953119988,20,0,0.0,0.0,0.0,0.0,0.0,0.0
30237616,12884439749,30,0,0.0,0.0,0.0,0.0,0.0,0.0
30247432,7806252248,5,5,57.92857142857144,70.0,0.0,811.0,811.0,0.0
12953119985,30237698,20,20,3.0,5.0,0.0,42.0,42.0,0.0
11370726443,442540240,15,0,0.0,0.0,0.0,0.0,0.0,0.0
30238026,30237616,30,30,63.01785714285714,76.66666666666667,10.274023338281626,706.0,706.0,0.0
cluster_301572306_301572951_71643537,359104405,20,0,0.0,0.0,0.0,0.0,0.0,0.0
6634825854,30247433,30,0,0.0,0.0,0.0,0.0,0.0,0.0
8193762124,8235449359,5,0,0.0,0.0,0.0,0.0,0.0,0.0
30243323,4823547657,35,35,86.76785714285714,140.71428571428572,15.90789817951435,974.0,974.0,0.0
1311770053,4897232219,45,0,0.0,0.0,0.0,0.0,0.0,0.0
30237641,12953119988,30,30,27.214285714285715,37.5,7.5,297.0,297.0,0.0
12884439748,359104407,15,15,8.571428571428571,21.666666666666668,2.3570226039551585,120.0,120.0,0.0
30237617,8126691012,50,50,71.83928571428572,101.5,9.759610647971568,946.0,947.6,0.8
30237696,359104407,5,5,41.92857142857143,80.0,0.0,587.0,587.0,0.0
11370726443,30238026,10,0,0.0,0.0,0.0,0.0,0.0,0.0
6855299029,12953119988,35,35,63.78571428571429,89.28571428571429,14.498416521560314,809.0,809.0,0.0
1812294093,442540300,15,15,65.26785714285714,95.0,8.16496580927726,787.0,787.0,0.0
6985826711,12884439748,30,0,0.0,0.0,0.0,0.0,0.0,0.0
30243370,12884439749,5,0,0.0,0.0,0.0,0.0,0.0,0.0
30237614,4222882539,35,0,0.0,0.0,0.0,0.0,0.0,0.0
30238029,30238029,30,0,0.0,0.0,0.0,0.0,0.0,0.0
6434214256,8655000700,25,25,58.28571428571429,122.0,8.717797887081348,795.0,816.0,0.0
6855299029,30247166,10,10,72.23214285714286,92.5,7.5,748.0,748.0,0.0
8173291489,9223593605,30,30,11.25,34.166666666666664,13.969212178533509,90.0,90.0,0.0
30243368,9042478734,5,5,78.78571428571428,135.0,0.0,1019.0,1019.0,0.0
1362899971,30237615,25,25,29.5,102.0,14.0,413.0,413.0,0.0
6434214256,8193762124,15,15,100.46428571428572,221.66666666666666,84.98365855987974,846.0,1271.6666666666667,139.0667305848367
cluster_30237612_6670690974,5761245141,30,30,97.21428571428571,156.66666666666666,17.480147469502526,1348.0,1353.0,0.0
